CASEID,v161003,v161004,v161006,v161008,v161126,v161141,v161143,v161153,v161155,v161192,v161194x,v161195x,v161196x,v161197,v161265x,v161267x,v161270,v161310x,v161315,v161342,v161361x,v161370,v161381,v161390,v161391,v161393,v161399,v161403,v161404,v161409,v161428,v161430,v161433,v161435,v161445,v161446,v161447,v161450,v161451,v161452,v161453,v161454,v161457,v161469,v161470,v161471,v161472
300001,3,1,-1, 3,99, 1, 2, 2, 2, 3, 4, 5, 1, 2,-2, 3, 9, 1, 1, 1,13, 0, 0, 1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
300002,1,1, 1, 7, 5, 2, 1, 2, 2, 1, 1, 5, 1, 1,-2, 3,13, 1, 1, 1,17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
300003,4,3,-1, 3,99, 1, 1, 1, 3, 1, 7, 2, 6, 1,-2, 2, 9, 1, 1, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
300004,3,2, 2, 7,99, 2, 2, 2, 0, 3, 4, 5, 4, 1,-2, 9, 9, 1, 1, 1,20, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
300006,3,2, 1, 5, 4, 2, 1, 1, 3, 3, 6, 6, 7, 4,-2, 5, 9, 1, 1, 2, 3,-1,-1,-1,-1,-1,-1,-1,-1,-1, 0, 0, 0, 0,-1,-1,-1,-1,-1,-1,-1,-1,-1, 0, 0, 0, 0
300007,1,1, 2, 7, 6, 2, 2, 2, 0, 3, 2, 5, 1, 1,-2,10,14, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0,-9,-9,-9,-9
300008,2,2, 1, 3,99, 2, 2, 2, 1, 3, 4, 6, 7, 1,-2, 9, 5, 2, 3, 1,22, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
300012,1,1, 2, 7, 5, 2, 2, 2, 3, 3, 1, 4, 1, 1,-2, 9, 9, 1, 1, 2,28, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
300018,1,1, 2, 7, 4, 3, 2, 1, 3, 3, 7, 2, 1, 1,-2, 7, 9, 6, 1, 1,12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0,-1,-1,-1,-1
300020,3,1,-1, 7, 3, 2, 2, 2, 3, 3, 4, 5, 7, 3,-2, 4,10, 1, 1, 2,19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0,-1,-1,-1,-1
300021,4,2,-1, 1,99, 3, 1, 2, 3, 1, 4, 5, 4, 1,-2, 6, 7, 1, 1, 2,11, 0, 0, 0, 0, 0, 0, 1, 0, 0,-1,-1,-1,-1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
300023,2,1, 1, 7, 2, 1, 3, 2, 3, 3, 7, 6, 7, 1,-2,13,10, 1, 2, 2,14, 0, 1, 0, 0, 0, 0, 0, 0, 0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1, 0, 0, 0, 0
300026,2,1,-1, 7, 4, 2, 3, 1, 5, 3, 7, 5, 7, 1,-2, 4,13, 5, 3, 1,24, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0,-9,-9,-9,-9
300030,2,1, 1, 7,99, 1, 1, 2, 1, 2, 1, 4, 1, 1,-2,11,12, 1, 1, 1,14, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,-1,-1,-1,-1
300034,1,1, 1, 7, 2, 2, 2, 2, 1, 4, 7, 6, 7, 2,-2,10,14, 1, 1, 2,10, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0,-9,-9,-9,-9
