CASEID,v163001a,v164004
300001,22,20161011
300002, 5,20161024
300003,28,20161023
300004,47,20161022
300006,39,20160928
300007,34,20160920
300008,36,20161031
300012,34,20161024
300018,48,20161101
300020,28,20160927
300021,22,20161015
300023,37,20161016
300026, 9,20160913
300030,39,20160909
300034,20,20160909
300038,25,20160923
300039,11,20160923
300040,35,20161026
300041,36,20161103
300042,53,20160908
300045,22,20161029
300046, 4,20160915
300047,42,20161003
300049,20,20160912
300050,22,20161016
300051,42,20161009
300053,12,20161101
300056,47,20160910
300058,25,20160917
300059,20,20161030
300062, 4,20161022
300064,20,20160916
300070,35,20160909
300072,17,20160912
300073,25,20160908
300082,47,20161023
300085, 8,20161004
300092,20,20160922
300093,25,20160923
300094,13,20160927
300098, 5,20161107
300099,55,20161014
300100,11,20161008
300103,36,20161025
300106,20,20160923
300107,17,20160915
300109,48,20161006
300111,37,20161106
300113,47,20160910
300116,37,20161105
300119, 5,20160914
300121,13,20161018
300123,39,20161026
300124,55,20160912
300131,47,20160921
300135,47,20161104
300136,48,20160914
300137, 9,20160912
300140,25,20161023
300142,17,20160914
300143,48,20161010
300144,28,20160909
300146,42,20160924
300148,35,20160912
300150,40,20161004
300151,17,20161010
300152,25,20161106
300153,47,20161023
300154,28,20161021
300155,47,20160917
300161, 6,20160912
300165,47,20160913
300168,24,20161025
300169, 6,20161022
300170, 6,20161019
300171, 6,20160916
300172,45,20160917
300175,18,20161015
300176,20,20160909
300177,11,20161021
300179, 5,20160912
300180, 6,20160914
300181,18,20160920
300182, 6,20160926
300184,34,20161024
300185,27,20160909
300186,17,20160927
300187,42,20160924
300188, 6,20161030
300195,13,20160922
300196,20,20160911
300198,13,20161103
300200,48,20161018
300204, 4,20160926
300207,22,20161002
300209,55,20161016
300210,55,20161107
300212, 6,20161010
300215,18,20161005
300217,17,20161102
300222,48,20161022
300224,42,20161105
300227,48,20161017
300228, 8,20160918
300230,48,20161006
300232,25,20160929
300234,25,20160910
300235,18,20160911
300237, 6,20161107
300238,48,20160923
300240, 4,20161103
300242,13,20160917
300244,37,20161018
300245,48,20161015
300246, 6,20161005
300248,42,20160918
300250,24,20160911
300252,35,20161022
300254,37,20160911
300255,37,20161015
300256,20,20160913
300259,47,20160914
300261,16,20161029
300264, 6,20160920
300267,16,20161003
300269,48,20161006
300270,48,20160928
300273,24,20160911
300276, 6,20160911
300278, 6,20161102
300279,47,20160908
300280,33,20160924
300282,17,20161101
300284,47,20160907
300289,25,20160924
300297,11,20160911
300299,20,20160911
300303,47,20160913
300304,40,20161012
300307,47,20161026
300312,35,20161020
300313,37,20161026
300317,35,20160913
300322,27,20160913
300325,48,20161021
300326,53,20160915
300327,37,20160907
300333,34,20161003
300334,45,20161006
300335,53,20160923
300336,42,20160914
300339,12,20161023
300342,20,20160917
300343,11,20161016
300344,13,20160910
300345,33,20161008
300352,17,20161015
300360, 6,20161023
300361,28,20160908
300363,25,20161013
300364, 9,20161015
300371,24,20161017
300375,39,20161008
300376,20,20161019
300377,37,20161010
300383,40,20161004
300386,17,20161016
300387,51,20161018
300389, 6,20160911
300393,55,20161021
300398,25,20161014
300400,45,20161015
300402, 4,20160917
300403, 6,20160910
300404,36,20161018
300406,48,20161023
300408,28,20160913
300423, 9,20160912
300424,45,20161014
300434,28,20161009
300437,17,20160927
300448, 6,20161009
300450,26,20161105
300453, 9,20161005
300454,28,20161002
300456,35,20160924
300458,12,20160913
300460,13,20161004
300465,39,20161029
300467, 4,20161105
300473,20,20160929
300475,27,20161028
300477,35,20160913
300482,16,20160926
300488,39,20160923
300493,16,20161104
300495,47,20160915
300497, 8,20161022
300499,48,20161021
300500,48,20161008
300501,47,20160915
300503,48,20161016
300504,17,20161010
300517,13,20160914
300518,47,20160919
300522,53,20161020
300526,47,20160907
300534,40,20161014
300540,51,20161105
300541,13,20160923
300542,47,20161028
300543,13,20160922
300545,16,20160929
300546,20,20160917
300547, 6,20161003
300549,37,20161017
300552,55,20161014
300554,36,20161030
300555, 4,20160917
300558,12,20160919
300559,39,20160909
300561,22,20161012
300565,34,20161103
300566,48,20161024
300569,12,20161021
300571,55,20160923
300572,13,20160915
300574, 6,20160917
300575,47,20160915
300578,39,20161021
300581,48,20161015
300583,16,20161002
300586,39,20160926
300587, 6,20160915
300589,18,20161008
300597,47,20160910
300600,55,20161107
300601,13,20161007
300603,48,20161104
300605,48,20160922
300609,33,20160909
300610,48,20161014
300611,35,20160921
300612,48,20160913
300614,48,20161001
300617,17,20161015
300620,25,20161004
300621,47,20160922
300622, 6,20161024
300628,17,20160928
300629,28,20161017
300632,34,20161102
300633,35,20160924
300634,40,20161011
300636,16,20161019
300637,48,20160920
300638,20,20160915
300641,48,20161011
300642,26,20160914
300644,48,20161103
300655,48,20161013
300656,22,20160928
300657,47,20161022
300658, 8,20161101
300660,20,20161002
300663,55,20160919
300674,33,20160912
300675,47,20160912
300676,20,20161024
300677,17,20160911
300679,48,20160924
300680,22,20161029
300687, 5,20160914
300693,45,20161024
300694,25,20161022
300695,20,20161029
300696,48,20161010
300699,53,20161003
300702,20,20161105
300703,40,20161012
300704,11,20161003
300705,17,20161018
300706,48,20161013
300709,17,20160917
300711,48,20161024
300717,39,20161028
300719,34,20160909
300721,17,20161009
300723,47,20160922
300724,26,20161001
300726,33,20161010
300727,20,20160908
300731,22,20161017
300732,28,20160916
300734,26,20161106
300735,45,20160922
300736,18,20161105
300739,17,20161004
300740, 8,20161022
300743, 6,20161106
300745,12,20161105
300747,25,20161026
300749,48,20160922
300750,17,20161013
300751, 6,20160915
300753, 5,20160923
300757,47,20160917
300759,27,20160913
300766,47,20160916
300768,17,20161009
300769,37,20161003
300770,22,20161006
300774,53,20161027
300775,48,20161002
300779,37,20160912
300780,12,20160922
300784,20,20160909
300785, 6,20160915
300789,12,20161025
300790,36,20161107
300792,34,20160917
300795,25,20161018
300796,24,20160922
300798,26,20160917
300799,27,20161004
300807,28,20161007
300808, 8,20160917
300812,17,20160913
300813,48,20161009
300816,39,20161028
300819, 6,20161018
300820,39,20161029
300821,48,20160927
300827,45,20160908
300831,48,20161003
300833,27,20160912
300839,24,20160917
300847,16,20161020
300850,42,20160910
300853, 6,20161006
300855,48,20161008
300857,11,20161023
300859,40,20160930
300860,40,20161015
300864,28,20160909
300869,47,20161016
300872,37,20160913
300873,48,20161011
300874,37,20161011
300875,33,20161017
300881,47,20160922
300882,16,20160917
300883,11,20161105
300885,16,20160923
300887, 5,20161028
300890,55,20161020
300893,34,20161010
300895,36,20161009
300898, 6,20161003
300900,28,20161031
300901, 8,20161021
300906,13,20160911
300910,27,20160909
300911,24,20160912
300912,40,20161001
300916,18,20160919
300917,20,20160916
300920,47,20160909
300921,18,20161018
300924,37,20160924
300925,37,20160914
300926,39,20160927
300927,18,20160919
300928,24,20160908
300930,37,20160915
300931, 6,20161022
300935, 6,20161020
300937, 6,20160927
300940,37,20160912
300947, 5,20161019
300953,28,20160920
300956,16,20161107
300963,12,20160919
300968,42,20161005
300970,16,20160919
300973,45,20160913
300976,24,20161007
300977,12,20161015
300979,37,20160927
300982, 8,20161019
300983,34,20161029
300991, 4,20161008
300994,39,20161027
301000, 6,20161027
301006,37,20161003
301007,48,20161012
301008,28,20160917
301010,13,20161003
301011, 8,20161004
301014,34,20161106
301018,34,20161003
301019, 8,20160924
301020,20,20160918
301023,20,20160930
301024,47,20160908
301026,53,20160912
301028, 8,20161101
301030,47,20160919
301033,33,20161005
301034,34,20161001
301043, 8,20160910
301045, 8,20161008
301047,39,20161022
301049, 4,20161102
301052,20,20160926
301056, 6,20161016
301059,39,20161029
301060,42,20160930
301061,48,20161029
301064, 8,20160914
301065, 6,20161007
301068,40,20161013
301070, 9,20161023
301071, 5,20160909
301073,34,20161003
301075,42,20160914
301081,48,20161013
301086,13,20161030
301087,39,20160928
301089, 5,20160915
301093, 4,20160917
301094,35,20161020
301096,40,20161012
301100,16,20160915
301101,35,20160928
301103,37,20161004
301105,47,20161024
301108,51,20161004
301110,27,20161015
301111, 6,20161104
301116,47,20160919
301117,20,20161008
301119, 6,20160914
301121,16,20160917
301122,25,20161106
301125,37,20161002
301129,20,20161107
301130,36,20160927
301131, 8,20160911
301134,48,20160921
301135, 6,20160916
301139,42,20161003
301141,20,20160910
301143,42,20161030
301144,16,20160924
301145,48,20161012
301146,16,20160920
301147,34,20161025
301148,35,20160921
301149,48,20160914
301150,37,20160930
301155, 6,20160914
301156,42,20161022
301158,48,20161011
301160, 8,20161019
301162,33,20160910
301164,28,20160916
301166,24,20160916
301167, 9,20160907
301169, 6,20160916
301170, 4,20161030
301171,12,20161028
301173,53,20160918
301176,18,20161016
301184,17,20161011
301185, 8,20161008
301187,55,20161103
301189,37,20160929
301190,17,20161106
301193,25,20160920
301194,42,20161104
301195,35,20161001
301200,26,20160913
301201,47,20160908
301208,20,20160913
301211,22,20161014
301213, 9,20161006
301215,11,20160907
301221,22,20161011
301225,42,20160928
301226, 6,20160915
301227, 6,20161103
301228,28,20160917
301232,35,20161020
301234,45,20160915
301235, 6,20161006
301237,53,20160909
301238, 6,20161027
301240, 4,20161102
301242, 4,20161104
301244,27,20160910
301245,20,20161030
301247,25,20160922
301258,34,20161013
301259, 6,20161001
301262,12,20160912
301264, 6,20161011
301268,25,20160917
301271,20,20161018
301273,24,20160919
301274,40,20161012
301276,48,20160912
301278,26,20161001
301280,17,20160915
301281,47,20160908
301282,20,20160908
301283,48,20161022
301285,51,20160920
301288,28,20161008
301293, 8,20160919
301294,16,20160912
301296,39,20160928
301298,12,20160926
301302, 5,20160929
301304,47,20161031
301305,35,20161023
301306,17,20160929
301308, 6,20160908
301313, 8,20161027
301314,47,20160916
301316,17,20161001
301317, 6,20161028
301319,28,20161007
301321,17,20161021
301322, 8,20160909
301323,28,20161028
301324,45,20160920
301325,39,20160908
301331,18,20160911
301332,47,20160921
301333, 6,20160916
301337,34,20160915
301338,28,20160924
301342, 5,20160926
301344, 8,20161027
301345,20,20161107
301346,17,20160929
301347,26,20161105
301351,24,20160917
301353,34,20161017
301354,20,20160908
301355,55,20160910
301356,25,20161009
301357,48,20160910
301365, 9,20161008
301366,53,20160916
301367,37,20160910
301368, 6,20161104
301369, 5,20160926
301370,40,20161010
301371,18,20161024
301373,12,20161012
301375, 9,20160923
301376,22,20161016
301377,24,20161024
301383,34,20160928
301384,39,20161006
301388,48,20161101
301389,36,20161102
301391, 6,20161107
301393,17,20160919
301396,37,20161028
301399,39,20161025
301402,17,20161031
301404,48,20161015
301408,20,20160912
301410,24,20160913
301411, 6,20161022
301412,40,20161011
301416,17,20161107
301418, 8,20160924
301419,47,20161022
301420, 5,20160907
301421,22,20161019
301423, 8,20160922
301429,37,20161003
301433, 6,20160920
301434,51,20161106
301436,47,20160914
